dataset,column,dtype,feature_dtype,origin,role,availability,safe_default,reason
features_daily,date,datetime64[ns],datetime,gold_original,time_index,known_in_advance,False,Temporal index; derived calendar features are preferred.
features_daily,num_tickets,float64,numeric,gold_original,same_period_business_outcome,same_period_outcome,False,Same-day transaction/outcome information is not available before the target period is completed.
features_daily,num_tickets_unicos,float64,numeric,gold_original,same_period_business_outcome,same_period_outcome,False,Same-day transaction/outcome information is not available before the target period is completed.
features_daily,facturacion_tickets,float64,numeric,gold_original,same_period_business_outcome,same_period_outcome,False,Same-day transaction/outcome information is not available before the target period is completed.
features_daily,ticket_medio,float64,numeric,gold_original,same_period_business_outcome,same_period_outcome,False,Same-day transaction/outcome information is not available before the target period is completed.
features_daily,ticket_mediano,float64,numeric,gold_original,same_period_business_outcome,same_period_outcome,False,Same-day transaction/outcome information is not available before the target period is completed.
features_daily,ticket_maximo,float64,numeric,gold_original,same_period_business_outcome,same_period_outcome,False,Same-day transaction/outcome information is not available before the target period is completed.
features_daily,ticket_minimo,float64,numeric,gold_original,same_period_business_outcome,same_period_outcome,False,Same-day transaction/outcome information is not available before the target period is completed.
features_daily,num_comprobantes,float64,numeric,gold_original,same_period_business_outcome,same_period_outcome,False,Same-day transaction/outcome information is not available before the target period is completed.
features_daily,num_facturas_pdf,float64,numeric,gold_original,same_period_business_outcome,same_period_outcome,False,Same-day transaction/outcome information is not available before the target period is completed.
features_daily,num_facturas_pdf_unicas,float64,numeric,gold_original,same_period_business_outcome,same_period_outcome,False,Same-day transaction/outcome information is not available before the target period is completed.
features_daily,facturacion_facturas_pdf,float64,numeric,gold_original,same_period_business_outcome,same_period_outcome,False,Same-day transaction/outcome information is not available before the target period is completed.
features_daily,base_facturas_pdf,float64,numeric,gold_original,same_period_business_outcome,same_period_outcome,False,Same-day transaction/outcome information is not available before the target period is completed.
features_daily,iva_facturas_pdf,float64,numeric,gold_original,same_period_business_outcome,same_period_outcome,False,Same-day transaction/outcome information is not available before the target period is completed.
features_daily,efectivo_facturas_pdf,float64,numeric,gold_original,same_period_business_outcome,same_period_outcome,False,Same-day transaction/outcome information is not available before the target period is completed.
features_daily,tarjeta_facturas_pdf,float64,numeric,gold_original,same_period_business_outcome,same_period_outcome,False,Same-day transaction/outcome information is not available before the target period is completed.
features_daily,facturas_pdf_no_reconciliadas,float64,numeric,gold_original,same_period_business_outcome,same_period_outcome,False,Same-day transaction/outcome information is not available before the target period is completed.
features_daily,pagos_pdf_no_reconciliados,float64,numeric,gold_original,unclassified_original,unknown,False,Availability cannot be guaranteed automatically; review before using as a predictor.
features_daily,reservas_total,float64,numeric,gold_original,reservation_context,requires_prediction_time_snapshot,False,Daily reservation aggregates may contain information created or resolved after the intended prediction cutoff.
features_daily,comensales_reservados_total,float64,numeric,gold_original,reservation_context,requires_prediction_time_snapshot,False,Daily reservation aggregates may contain information created or resolved after the intended prediction cutoff.
features_daily,tamano_grupo_medio,float64,numeric,gold_original,reservation_context,requires_prediction_time_snapshot,False,Daily reservation aggregates may contain information created or resolved after the intended prediction cutoff.
features_daily,tamano_grupo_mediano,float64,numeric,gold_original,reservation_context,requires_prediction_time_snapshot,False,Daily reservation aggregates may contain information created or resolved after the intended prediction cutoff.
features_daily,tamano_grupo_maximo,float64,numeric,gold_original,reservation_context,requires_prediction_time_snapshot,False,Daily reservation aggregates may contain information created or resolved after the intended prediction cutoff.
features_daily,reservas_completed,float64,numeric,gold_original,reservation_context,requires_prediction_time_snapshot,False,Daily reservation aggregates may contain information created or resolved after the intended prediction cutoff.
features_daily,comensales_completed,float64,numeric,gold_original,reservation_context,requires_prediction_time_snapshot,False,Daily reservation aggregates may contain information created or resolved after the intended prediction cutoff.
features_daily,reservas_cancelled,float64,numeric,gold_original,reservation_context,requires_prediction_time_snapshot,False,Daily reservation aggregates may contain information created or resolved after the intended prediction cutoff.
